link,sent_time,title,author
https://flickfilosopher.substack.com/p/daily-stream-a-pandemic-perfect-cinematic,2023-04-02 11:54:47.674570,daily stream: a pandemic perfect cinematic storm,MaryAnn Johanson
https://yardenaschwersky.substack.com/p/memory-trains,2023-04-02 11:54:51.991056,Memory Trains,Yardena Schwersky
https://terryfreedman.substack.com/p/experiments-in-style-by-a-very-private,2023-04-02 11:54:54.941253,"Experiments in style, by a very private person...",𝚃𝚎𝚛𝚛𝚢 𝙵𝚛𝚎𝚎𝚍𝚖𝚊𝚗
https://terryfreedman.substack.com/p/25-websites-for-free-illustrations,2023-04-02 11:54:59.536977,25 websites for free illustrations,𝚃𝚎𝚛𝚛𝚢 𝙵𝚛𝚎𝚎𝚍𝚖𝚊𝚗
https://acabinetofcuriosities.substack.com/p/aubade-chapter-2,2023-04-02 11:55:03.258565,Aubade: Chapter 2,Minna
https://soaringtwenties.substack.com/p/trains,2023-04-02 16:18:39.652127,Trains,Thomas J Bevan
https://charlesschifano.substack.com/p/march-2023,2023-04-02 16:18:42.886516,March 2023,Unknown Author
https://mattpmn.substack.com/p/bing-ai-butchers-our-values,2023-04-02 16:18:47.219988,Bing's AI butchers our values,Matt
https://flickfilosopher.substack.com/p/dungeons-and-dragons-honour-among,2023-04-02 20:14:33.566208,Dungeons & Dragons: Hono(u)r Among Thieves movie review: dudgeon and draggin’,MaryAnn Johanson
https://howaboutthis.substack.com/p/how-about-this-the-11th-month-update,2023-04-02 20:14:36.860363,How About This - the 11th month update,Unknown Author
https://theworldofyesterday.substack.com/p/the-necessity-of-saying,2023-04-03 01:08:27.888590,The Necessity of Saying,Harris Lechtzier
https://terryfreedman.substack.com/p/start-the-week-18,2023-04-03 12:28:25.561187,Start the week #18,𝚃𝚎𝚛𝚛𝚢 𝙵𝚛𝚎𝚎𝚍𝚖𝚊𝚗
https://soaringtwenties.substack.com/p/the-curlews-flight-call,2023-04-03 16:20:05.374050,The Curlew’s Flight Call,Minna
https://jamesmaynard.substack.com/p/here-is-a-house-where-two-virginities,2023-04-03 16:20:08.974680,Here is the house where two virginities easily lay,James Maynard
https://siddhesh.substack.com/p/recs-2023-03,2023-04-03 16:20:12.712334,Siddhesh Recommends - March 2023,Siddhesh
https://tonyzentelis.substack.com/p/i-was-gutted-to-the-core-by-the-piercing,2023-04-03 20:15:35.203632,"i was gutted to the core by the piercing blades of directionless hedonism, and now i'm scooping my dirtied innards off the pavement as the people look onward",Tony
https://flickfilosopher.substack.com/p/weekly-digest-daily-streams-now-also,2023-04-03 20:15:38.780753,weekly digest: daily streams now also getting posted to Flick Filosopher,MaryAnn Johanson
https://journal.coffee/they-call-it-the-lonely-profession/,2023-04-04 01:15:54.399246,They Call It The Lonely Profession,Deepansh Khurana
https://terryfreedman.substack.com/p/5-minute-tip-5,2023-04-04 12:27:56.645819,5 minute tip #5,𝚃𝚎𝚛𝚛𝚢 𝙵𝚛𝚎𝚎𝚍𝚖𝚊𝚗
